VTWV
	RBC Bearings Inc.	
SSB	South State Corp.	/etf/ea/ETZCW.djhtm?c=1&etfid=SSB.US&back=VTWV
STAG	STAG Industrial Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=STAG.US&back=VTWV
ADC	Agree Realty Corp.	/etf/ea/ETZCW.djhtm?c=1&etfid=ADC.US&back=VTWV
VLY	Valley National Bancorp	/etf/ea/ETZCW.djhtm?c=1&etfid=VLY.US&back=VTWV
UBSI	United Bankshares Inc./WV	/etf/ea/ETZCW.djhtm?c=1&etfid=UBSI.US&back=VTWV
BKH	Black Hills Corp.	/etf/ea/ETZCW.djhtm?c=1&etfid=BKH.US&back=VTWV
BXMT	Blackstone Mortgage Trust Inc. Class A	/etf/ea/ETZCW.djhtm?c=1&etfid=BXMT.US&back=VTWV
CIVI	Civitas Resources Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=CIVI.US&back=VTWV
GBCI	Glacier Bancorp Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=GBCI.US&back=VTWV
ONB	Old National Bancorp/IN	/etf/ea/ETZCW.djhtm?c=1&etfid=ONB.US&back=VTWV
LNW	Scientific Games Corp.	/etf/ea/ETZCW.djhtm?c=1&etfid=LNW.US&back=VTWV
SWX	Southwest Gas Holdings Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=SWX.US&back=VTWV
TGNA	TEGNA Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=TGNA.US&back=VTWV
SIGI	Selective Insurance Group Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=SIGI.US&back=VTWV
POR	Portland General Electric Co.	/etf/ea/ETZCW.djhtm?c=1&etfid=POR.US&back=VTWV
TRNO	Terreno Realty Corp.	/etf/ea/ETZCW.djhtm?c=1&etfid=TRNO.US&back=VTWV
RHP	Ryman Hospitality Properties Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=RHP.US&back=VTWV
HOMB	Home BancShares Inc./AR	/etf/ea/ETZCW.djhtm?c=1&etfid=HOMB.US&back=VTWV
HP	Helmerich & Payne Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=HP.US&back=VTWV
